Text	Label
Feeling unsupported by her team at work, she often lay awake wondering how to bridge the gaps, her stress compounded by isolation	0
The joy of his son's return home after years abroad disrupted his sleep routine, his nights filled with long conversations and rekindled emotions.	0
Her close friend’s betrayal felt like a heavy blanket of sadness that suffocated her nights, making it impossible to find comfort in sleep	0
Anticipation of the next day’s difficult conversation with a colleague kept him up, as he mentally prepared for every possible scenario.	0
Financial disagreements with her spouse brought a layer of stress that crept into their bedroom, turning her usual place of rest into a battlefield of worries.	0
The excitement of a budding romantic relationship filled her with too much energy to sleep, her mind buzzing with possibilities into the early morning.	0
His mentor’s recent harsh criticism made it difficult to relax at night, with self-doubt and anxiety replacing what used to be restful slumber.	0
Friendship drama often left her mind buzzing at night, replaying conversations and imagining different outcomes instead of sleeping.	0
The silent treatment from her partner created an unsettling quiet at bedtime, making her insomnia worse as she lay waiting for a resolution.	0
After the heated family meeting, he found himself unable to shut down his racing thoughts, resulting in night after night of sleeplessness	0
As she navigated the emotional fallout of her divorce, night after night was consumed by a relentless insomnia, robbing her of much-needed rest.	0
The unresolved tension with his father haunted his late hours, making each attempt to sleep futile.	0
Her ongoing disputes with her business partner spilled over into the night, leaving her staring at the ceiling, wishing for sleep.	0
Lying in bed, he could almost hear the echo of the door slamming after their fight, a sound that seemed to keep him from drifting off to sleep.	0
Sleep eluded her as she replayed the harsh words exchanged with her friend, each replay tightening the knot in her stomach.	0
She couldn't shake the anxiety from the tense atmosphere at home, which crept into her bedtime routine and stole her sleep	0
He lay awake, the weight of unresolved conflicts with his co-workers spiraling into a cycle of sleepless nights	0
The stress from her deteriorating relationship with her sister increasingly invaded her nights, manifesting as relentless insomnia	0
Ever since their breakup, he found himself awake at odd hours of the night, ruminating over what went wrong	0
The constant arguments with her partner left her tossing and turning, unable to find the peace needed to fall asleep.	0
After a day of back-to-back meetings that ended in disputes, she found it impossible to calm her mind and drift into sleep.	0
The looming deadline kept him awake at night, his mind cycling through tasks and timelines instead of resting.	0
Worries about job security haunted his nights, filling his dreams with scenarios of unemployment and financial distress	0
Her recent promotion, while exciting, brought on new anxieties that encroached on her sleep, leaving her restless	0
The thought of presenting in front of senior management filled him with dread, disrupting his sleep for days leading up to the event.	0
Constant emails from her boss during her off hours kept her on edge, making it difficult to disconnect and relax enough for sleep.	0
Disagreements with a co-worker turned the workplace into a source of stress rather than collaboration, spilling over into sleepless nights.	0
He replayed the day’s performance review over and over, each time wondering what he could have done differently, which kept him from sleeping.	0
Anticipation of workplace changes and restructuring made her toss and turn, unsure of what the morning would bring	0
The pressure to exceed sales targets mounted each night, replacing her usual bedtime peace with anxiety and wakefulness.	0
The recent investment that turned sour kept him awake, as he calculated the impact on his savings through the night.	0
News of the market downturn made her restless, her thoughts swirling with the financial adjustments she'd need to make	0
The foreclosure notice was a blow that disrupted his sleep, each night filled with worries about the future and where they would live	0
After losing a substantial amount of money in a business deal, she spent her nights fretting over how to recover her losses	0
The threat of bankruptcy loomed large in his mind at bedtime, the stress manifesting in sleepless nights and anxious dreams	0
Her sudden job loss and its financial implications made it impossible for her to find restful sleep, as she lay calculating expenses and dwindling savings	0
He tossed and turned, haunted by the debt that was piling up, each bill a reminder of his precarious financial state.	0
Uncertainty about her retirement fund, after the economic collapse, transformed her nights into a marathon of worry and wakefulness	0
Facing a steep decline in his freelance income, nights became a time for strategizing rather than sleeping	0
Since the passing of his father, he found the silence of the night unbearable, each tick of the clock reminding him of his loss	0
Her grief over her late spouse crept into her nights, turning her dreams into vivid memories that jolted her awake	0
The loss of her close friend left a void that filled her nights with sorrow, making it difficult to find solace in sleep.	0
After the funeral, the reality of her sister's absence became more palpable at night, each evening a struggle to escape into sleep.	0
He lay in bed, grief washing over him in waves, disrupting his sleep with a heartache that felt as fresh as when he first heard the news	0
The emptiness in her home after her pet passed away made every night longer, her companion's absence felt deeply in the quiet hours.	0
Her nights were punctuated by tears, as she mourned the loss of her grandmother, her usual comforter in times of distress.	0
Sleep became elusive as he grappled with the unresolved issues left by his estranged brother's sudden death.	0
She stared at the ceiling, lost in the grief of losing her mentor and guide, the darkness of the room echoing her inner turmoil.	0
The grief of losing his colleague in a sudden accident haunted him at night, his mind replaying their last conversations instead of resting.	0
Nights were filled with recurrent and intrusive emotional pain, as memories of her mother surfaced unbidden, keeping sleep at bay	0
He found himself preoccupied with persistent longing for his deceased partner, each night a reminder of the emptiness beside him	0
Anger over her brother's unexpected death surged through her in the quiet hours, questioning the fairness of life and disrupting her sleep	0
He avoided their favorite songs and movies, anything that reminded him of his late friend, making evenings lonely and long.	0
Since the accident, she lost trust in others, the world seeming more unpredictable and hostile, leaving her isolated and awake at night.	0
Emotional numbness became his defense against the pain, but at night, the facade faded, and the grief became overwhelming, stealing his sleep	0
Loneliness crept into her evenings without her sister to call, each night highlighting the profound solitude that had taken over her life.	0
Survivor’s guilt gnawed at him after surviving the crash that his colleague did not, his nights haunted by 'what ifs' that kept him from peace	0
With her daughter gone, she felt as if she had lost a part of herself, nights were spent searching for a sense of identity that seemed forever altered	0
The quiet of the night amplified the sense of detachment from the world around her, each evening a struggle to connect with life as it used to be.	0
The worry over his rising blood pressure readings often kept him awake, the stress exacerbating his insomnia and turning his nights into restless endeavors	1
She frequently woke up during the night to check her blood sugar levels, the fear of hypoglycemia interrupting her sleep and fueling her insomnia	1
As his cognitive functions declined with neurodegeneration, night-time confusion and disorientation became common, severely disrupting his sleep patterns.	1
Managing diabetes and hypertension simultaneously took a toll on her sleep quality; the stress of health management and medication side effects often led to long, sleepless nights.	1
His hypertension seemed to feed into his anxiety, each spike in pressure heightening his worries about health, thus making it harder to fall asleep.	1
Despite feeling overwhelmingly tired due to diabetes, she struggled with insomnia, her body unable to settle into a restful sleep because of neuropathic pain	1
Neurodegenerative changes not only impaired his memory but also disrupted his sleep architecture, leading to fragmented sleep that left him exhausted during the day	1
